360000,50,360000,40294,63657,0.176825
360000,50,360000,40387,63657,0.176825
360000,50,360000,40098,63657,0.176825
360000,50,360000,40170,63657,0.176825
360000,50,360000,40318,63657,0.176825
360000,50,360000,40116,63657,0.176825
360000,50,360000,40254,63657,0.176825
360000,50,360000,40293,63657,0.176825
360000,50,360000,40221,63657,0.176825
360000,50,360000,40210,63657,0.176825
360000,50,360000,40289,63657,0.176825
360000,50,360000,40119,63657,0.176825
360000,50,360000,40123,63657,0.176825
360000,50,360000,40054,63657,0.176825
360000,50,360000,40341,63657,0.176825
360000,50,360000,40413,63657,0.176825
